EpochTime,X,Y,Z,ClockBias,HDOP,VDOP,PDOP,GDOP,EastError,NorthError,UpError,NumSats
522098.000000,-1641889.144296,-3664874.297419,4939965.360526,2.497004,0.783229,0.936589,1.220921,1.323002,-1.179145,1.348871,-6.308306,12
522099.000000,-1641889.194802,-3664874.664327,4939965.862263,2.085282,0.783220,0.936562,1.220894,1.322969,-1.075201,1.387522,-5.694617,12
522100.000000,-1641889.220334,-3664874.590606,4939965.812108,2.115561,0.783212,0.936534,1.220867,1.322937,-1.128646,1.400229,-5.769345,12
522102.000000,-1641889.002109,-3664874.365373,4939965.761694,2.199244,0.783194,0.936479,1.220814,1.322871,-1.021602,1.597896,-5.993763,12
522103.000000,-1641889.283385,-3664874.058307,4939965.417333,2.455890,0.783185,0.936451,1.220787,1.322839,-1.403851,1.510077,-6.365466,12
522104.000000,-1641889.177263,-3664874.492699,4939966.378316,1.917347,0.783177,0.936424,1.220760,1.322806,-1.129377,1.839169,-5.396029,12
522106.000000,-1641889.094834,-3664874.602424,4939966.167851,2.053002,0.783159,0.936368,1.220706,1.322740,-1.009286,1.655263,-5.518040,12
522107.000000,-1641889.075071,-3664874.663822,4939966.052740,1.868647,0.783150,0.936340,1.220679,1.322707,-0.966145,1.545640,-5.577473,12
522108.000000,-1641888.857473,-3664874.564882,4939965.858187,2.201384,0.783142,0.936312,1.220652,1.322675,-0.808028,1.562884,-5.841464,12
522109.000000,-1641888.754434,-3664874.810026,4939965.736430,2.051770,0.783133,0.936284,1.220625,1.322642,-0.613755,1.345121,-5.822115,12
522111.000000,-1641888.687290,-3664874.817847,4939966.114722,1.957353,0.783115,0.936228,1.220571,1.322576,-0.549284,1.598593,-5.540567,12
522112.000000,-1641888.974516,-3664874.885996,4939966.114743,1.987427,0.783107,0.936200,1.220544,1.322542,-0.783530,1.458843,-5.427690,12
522113.000000,-1641889.168245,-3664875.224338,4939966.521276,1.563102,0.783098,0.936172,1.220517,1.322509,-0.821969,1.412398,-4.867653,12
522114.000000,-1641889.000519,-3664874.748055,4939966.219999,1.804803,0.783089,0.936144,1.220489,1.322476,-0.863666,1.614635,-5.418204,12
522116.000000,-1641889.360782,-3664874.789534,4939965.732288,2.088962,0.783072,0.936088,1.220435,1.322410,-1.175470,1.164164,-5.681313,12
522117.000000,-1641889.273028,-3664875.215010,4939965.706340,2.011511,0.783063,0.936059,1.220408,1.322376,-0.921405,0.873698,-5.480108,12
522118.000000,-1641889.629194,-3664875.451441,4939966.048132,1.465578,0.783054,0.936031,1.220380,1.322343,-1.149751,0.807256,-4.987138,12
522119.000000,-1641889.440734,-3664875.192923,4939965.793321,1.800988,0.783045,0.936003,1.220353,1.322310,-1.083480,0.890671,-5.382014,12
522121.000000,-1641889.209618,-3664875.452657,4939966.636823,1.280127,0.783027,0.935946,1.220298,1.322243,-0.766360,1.309725,-4.636225,12
